2021-07-22 16:43:21,265 --- [cog] => INFO:20 (BASIC COG join_leave_ LOADED.) | thn basic_cog_thread | thd 140554601072384 | procn MainProcess | procd 57604
2021-07-22 16:44:38,372 --- [efc] => INFO:20 (BASIC COG join_leave_ LOADED.) | thn basic_cog_thread | thd 140197817403136 | procn MainProcess | procd 57700
2021-07-22 16:47:04,611 --- [efc] => INFO:20 (BASIC COG join_leave_ LOADED.) | thn basic_cog_thread | thd 140046497888000 | procn MainProcess | procd 57944
2021-07-22 16:49:40,920 --- [efc] => INFO:20 (BASIC COG join_leave_ LOADED.) | thn basic_cog_thread | thd 139869865993984 | procn MainProcess | procd 58474
2021-07-22 16:49:50,820 --- [efc] => INFO:20 (BASIC COG join_leave_ LOADED.) | thn basic_cog_thread | thd 140643835852544 | procn MainProcess | procd 58491
2021-07-22 16:58:31,760 --- [efc] => INFO:20 (BASIC COG join_leave_ LOADED.) | thn basic_cog_thread | thd 139672349234944 | procn MainProcess | procd 60346
2021-07-22 16:59:06,585 --- [efc] => INFO:20 (BASIC COG join_leave_ LOADED.) | thn basic_cog_thread | thd 139841942927104 | procn MainProcess | procd 60379
2021-07-22 17:04:38,628 --- [efc] => INFO:20 (BASIC COG join_leave_ LOADED.) | thn basic_cog_thread | thd 139820664370944 | procn MainProcess | procd 60882
2021-07-22 17:07:28,890 --- [efc] => INFO:20 (BASIC COG join_leave_ LOADED.) | thn basic_cog_thread | thd 139680958158592 | procn MainProcess | procd 61209
2021-07-22 17:08:33,155 --- [efc] => INFO:20 (BASIC COG join_leave_ LOADED.) | thn basic_cog_thread | thd 139857547982592 | procn MainProcess | procd 61305
2021-07-22 17:10:14,759 --- [efc] => INFO:20 (BASIC COG join_leave_ LOADED.) | thn basic_cog_thread | thd 140356575495936 | procn MainProcess | procd 61641
2021-07-22 17:11:34,195 --- [efc] => INFO:20 (BASIC COG join_leave_ LOADED.) | thn basic_cog_thread | thd 140328379094784 | procn MainProcess | procd 61789
2021-07-22 17:12:13,659 --- [efc] => INFO:20 (BASIC COG join_leave_ LOADED.) | thn basic_cog_thread | thd 140460630857472 | procn MainProcess | procd 61855
2021-07-22 17:23:06,676 --- [general] => INFO:20 (BASIC commands clear LOADED.) | thn basic_commands_thread | thd 139883913037568 | procn MainProcess | procd 63844
2021-07-22 17:23:06,679 --- [efc] => INFO:20 (BASIC COG join_leave_ LOADED.) | thn basic_cog_thread | thd 139883921430272 | procn MainProcess | procd 63844
2021-07-22 17:24:37,516 --- [general] => INFO:20 (BASIC commands clear LOADED.) | thn basic_commands_thread | thd 140474168162048 | procn MainProcess | procd 64033
